w_mom,w_lv,w_rsi,w_vol,tr_sharpe,tr_cumret,tr_annual,tr_mdd,te_sharpe,te_cumret,te_annual,te_mdd,te_winrate
0.0,0.4,0.30000000000000004,0.30000000000000004,-0.062984,-0.08234733,-0.030124485,-0.38591406,0.64506155,0.21116757,0.13858163,-0.13854791,0.5322581
0.0,0.4,0.35000000000000003,0.25,-0.08069982,-0.08930951,-0.03275001,-0.3992321,0.5560405,0.17128778,0.113048434,-0.15075211,0.5241935
0.0,0.4,0.4,0.2,-0.35445547,-0.20277274,-0.077492476,-0.37084088,0.5079668,0.14859784,0.09839606,-0.18508522,0.53763443
0.0,0.4,0.45,0.15000000000000002,-0.3009829,-0.17916918,-0.06786221,-0.39761153,0.8471595,0.2963364,0.19222212,-0.15724693,0.5483871
0.0,0.4,0.5,0.1,-0.45286414,-0.23753995,-0.09201795,-0.39311343,0.6258858,0.19204998,0.12637591,-0.14812061,0.5430108
0.0,0.4,0.55,0.05,-0.51082927,-0.25374156,-0.09893274,-0.38672498,0.80186796,0.2663691,0.17348182,-0.1320543,0.52956986
0.0,0.4,0.6000000000000001,0.0,-0.16599867,-0.11580628,-0.042862177,-0.34093058,0.8085908,0.26960742,0.17551363,-0.12313225,0.52956986
0.0,0.45,0.0,0.55,-0.68404984,-0.293971,-0.11653149,-0.3274935,1.1250607,0.45400393,0.2886206,-0.13771267,0.53763443
0.0,0.45,0.05,0.5,-0.7373954,-0.31278342,-0.12498325,-0.46519256,1.1543717,0.45443666,0.28888035,-0.13463207,0.5403226
0.0,0.45,0.1,0.45,-0.30638567,-0.18514144,-0.07028186,-0.43401378,1.1777728,0.46808875,0.29706347,-0.1306143,0.52956986
0.0,0.45,0.15000000000000002,0.4,-0.26632285,-0.1752547,-0.06628245,-0.40466365,1.5805799,0.706354,0.4361776,-0.119569704,0.55376345
0.0,0.45,0.2,0.35000000000000003,0.09678286,-0.00030595064,-0.00010895729,-0.40462494,1.167579,0.45245683,0.2876916,-0.13178444,0.54569894
0.0,0.45,0.25,0.30000000000000004,0.09240444,-0.0008723736,-0.0003105998,-0.34184736,0.8634537,0.30469763,0.19742584,-0.12608227,0.5322581
